datetime,Vancouver,Portland,San Francisco,Seattle,Year,ds
2013-08-05,7002.084999999999,7061.7395,6950.3099999999995,7001.195,2013,2013-08-05 00:00:00
2013-08-06,7028.849999999999,7097.660000000002,6948.630000000001,7057.260000000001,2013,2013-08-06 00:00:00
2013-08-07,7032.6720000000005,7083.172500000001,6928.185,7051.279500000001,2013,2013-08-07 00:00:00
2013-08-08,7049.198,7077.108,6949.880500000002,7058.162999999999,2013,2013-08-08 00:00:00
2013-08-09,7034.875,7044.588000000001,6988.671,7033.045999999998,2013,2013-08-09 00:00:00
2013-08-10,6454.602499999999,6457.758999999999,6377.210000000001,6445.124999999999,2013,2013-08-10 00:00:00
2013-08-11,7055.504999999997,7046.860000000001,6967.905000000001,7025.875000000001,2013,2013-08-11 00:00:00
2013-08-12,7009.58,6996.5199999999995,6974.959999999999,6981.6900000000005,2013,2013-08-12 00:00:00
2013-08-13,7001.39,7001.650000000001,6997.5999999999985,6995.75,2013,2013-08-13 00:00:00
2013-08-14,7013.7252499999995,7015.715250000002,6997.865749999999,7004.286749999999,2013,2013-08-14 00:00:00
2013-08-15,6727.798666667001,6759.220166666999,6732.6343333330005,6721.301416666998,2013,2013-08-15 00:00:00
2013-08-16,7015.316999999998,7040.305499999996,7021.0549999999985,6978.235999999999,2013,2013-08-16 00:00:00
2013-08-17,6990.1900000000005,7042.266999999999,7020.009999999998,7012.829999999997,2013,2013-08-17 00:00:00
2013-08-18,7021.169999999999,7045.747999999999,6997.35,7022.304000000002,2013,2013-08-18 00:00:00
2013-08-19,6990.04,7047.510000000001,7024.1399999999985,7017.3414999999995,2013,2013-08-19 00:00:00
2013-08-20,6976.33,7043.619999999999,7100.17,7003.3899999999985,2013,2013-08-20 00:00:00
2013-08-21,6980.290000000002,7003.625000000001,7031.044999999999,7000.224999999999,2013,2013-08-21 00:00:00
2013-08-22,6986.009999999999,7037.185000000002,6983.8,6994.000000000002,2013,2013-08-22 00:00:00
2013-08-23,7020.124500000001,7054.185,6971.959500000001,7032.584500000001,2013,2013-08-23 00:00:00
2013-08-24,7009.818999999999,7020.754000000001,6954.939000000002,7024.633000000001,2013,2013-08-24 00:00:00
2013-08-25,6980.7040000000015,7009.935999999998,6993.014333333999,6991.822333333,2013,2013-08-25 00:00:00
2013-08-26,6966.290499999999,6959.625499999999,7027.595000000001,6961.605499999999,2013,2013-08-26 00:00:00
2013-08-27,6985.920800000001,6974.4125,6969.694999999998,6993.322500000001,2013,2013-08-27 00:00:00
2013-08-28,6965.978499999998,7019.680000000001,7001.156,7003.4715,2013,2013-08-28 00:00:00
2013-08-29,6993.64825,7056.46325,7011.757749999999,7036.10875,2013,2013-08-29 00:00:00
2013-08-30,7006.65,7048.8200000000015,7040.525,7023.2985,2013,2013-08-30 00:00:00
2013-08-31,6948.81975,7029.87475,6998.782250000002,6992.749749999999,2013,2013-08-31 00:00:00
2013-09-01,6976.535000000002,7054.360000000001,6963.5380000000005,7011.685,2013,2013-09-01 00:00:00
2013-09-02,7005.2874999999985,7043.4705,7053.257499999999,7039.541499999999,2013,2013-09-02 00:00:00
2013-09-03,6971.002900000001,7011.4669,6985.597900000001,6987.4269,2013,2013-09-03 00:00:00
2013-09-04,6944.92575,6984.338250000001,7008.99575,6957.820749999999,2013,2013-09-04 00:00:00
2013-09-05,6962.3305,6982.918833333,7020.592166667001,6974.133833333001,2013,2013-09-05 00:00:00
2013-09-06,6966.206666667,6942.474433332999,7020.610199999999,6964.249116666998,2013,2013-09-06 00:00:00
2013-09-07,6967.7333,6940.5183,7060.45025,6956.8778,2013,2013-09-07 00:00:00
2013-09-08,6676.349950000002,6724.755000000001,6738.4606,6695.629249999999,2013,2013-09-08 00:00:00
2013-09-09,6988.615000000001,7042.664999999999,7033.8,6980.764999999999,2013,2013-09-09 00:00:00
2013-09-10,7000.147999999999,7074.9389999999985,6998.959,6976.739333333001,2013,2013-09-10 00:00:00
2013-09-11,7039.512999999999,7146.9956666670005,6990.468333333002,7060.477333332999,2013,2013-09-11 00:00:00
2013-09-12,7044.446999999998,7071.361400000001,6986.7194,7028.946733333001,2013,2013-09-12 00:00:00
2013-09-13,7002.032916666999,7015.6317500000005,6968.723249999999,6974.559749999997,2013,2013-09-13 00:00:00
2013-09-14,6965.373333333999,7034.470833333002,6941.593833333001,6965.122499999999,2013,2013-09-14 00:00:00
2013-09-15,6959.5994999999975,7002.512166666998,6976.127499999999,6913.919999999999,2013,2013-09-15 00:00:00
2013-09-16,6932.4445000000005,6957.091599999998,7003.494250000001,6936.881499999999,2013,2013-09-16 00:00:00
2013-09-17,6903.526666666997,6909.611,7014.418999999999,6890.221999999998,2013,2013-09-17 00:00:00
2013-09-18,6886.816999999999,6892.699000000002,7001.5154999999995,6882.676666666997,2013,2013-09-18 00:00:00
2013-09-19,6874.702333332999,6861.202666667001,7007.026333334001,6890.5973333329985,2013,2013-09-19 00:00:00
2013-09-20,6923.050666667003,6898.083166667,6997.935333333,6893.463833332998,2013,2013-09-20 00:00:00
2013-09-21,6889.3443,6908.2053,6974.605083333,6889.530800000001,2013,2013-09-21 00:00:00
2013-09-22,6858.071999999999,6869.6621,6919.6169,6881.68435,2013,2013-09-22 00:00:00
2013-09-23,6861.687000000001,6879.786916667,6958.6855000000005,6868.564116666999,2013,2013-09-23 00:00:00
2013-09-24,6830.256666667,6852.929833334,6977.346499998999,6841.194000000999,2013,2013-09-24 00:00:00
2013-09-25,6834.403166667001,6815.4198333330005,6941.2865,6820.141499999999,2013,2013-09-25 00:00:00
